UNIQUE-NAME,CUSTOMER-ID,PRODUCT-ID
P-14,ACT000,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-15,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-16,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-17,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-18,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-19,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-20,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-21,HUM034,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-24,,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
P-26,ACT010,1001066 | 1001207 | 1001233 | 11-1AA | 11-1AA SAP | 11-1BB | 11-1CC | 11-1DD | 11-1EE | 4005463
